"RealizationOfRec" "Verb" "AnimacyOfRec" "AnimacyOfTheme" "LengthOfTheme"
"509" "NP" "give" "animate" "inanimate" 2.3978953
"510" "NP" "give" "animate" "inanimate" 1.3862944
"511" "NP" "give" "animate" "inanimate" 0.6931472
"512" "NP" "cost" "animate" "inanimate" 1.6094379
"513" "NP" "give" "animate" "inanimate" 2.7725887
"514" "NP" "give" "animate" "inanimate" 1.3862944
"515" "NP" "cost" "animate" "inanimate" 1.7917595
"516" "NP" "give" "animate" "inanimate" 2.0794415
"517" "NP" "give" "animate" "inanimate" 2.4849066
"518" "NP" "give" "animate" "inanimate" 1.3862944
"519" "NP" "offer" "animate" "inanimate" 1.0986123
"520" "NP" "send" "animate" "inanimate" 0.6931472
"521" "NP" "give" "animate" "inanimate" 2.9957323
"522" "NP" "assure" "animate" "inanimate" 1.7917595
"523" "NP" "give" "animate" "inanimate" 2.7725887
"524" "NP" "give" "animate" "inanimate" 2.3978953
"525" "NP" "give" "animate" "inanimate" 1.7917595
"526" "NP" "give" "animate" "inanimate" 2.5649494
"527" "NP" "give" "animate" "inanimate" 1.6094379
"528" "NP" "give" "animate" "inanimate" 2.9957323
"529" "NP" "give" "animate" "inanimate" 2.0794415
"530" "NP" "pay" "animate" "inanimate" 1.6094379
"531" "NP" "pay" "animate" "inanimate" 1.6094379
"532" "NP" "give" "animate" "inanimate" 1.0986123
"533" "NP" "give" "animate" "inanimate" 1.9459101
"534" "NP" "give" "animate" "inanimate" 1.0986123
"535" "NP" "give" "animate" "inanimate" 1.6094379
"536" "NP" "give" "animate" "inanimate" 2.944439
"537" "NP" "give" "animate" "inanimate" 2.4849066
"538" "NP" "give" "animate" "inanimate" 1.9459101
"539" "NP" "give" "animate" "inanimate" 0.6931472
"540" "NP" "owe" "inanimate" "inanimate" 0
"541" "NP" "give" "animate" "inanimate" 1.3862944
"542" "NP" "give" "animate" "inanimate" 2.7080502
"543" "NP" "give" "animate" "inanimate" 1.0986123
"544" "NP" "give" "animate" "inanimate" 1.7917595
"545" "NP" "give" "animate" "inanimate" 2.1972246
"546" "NP" "give" "animate" "inanimate" 1.6094379
"547" "NP" "give" "animate" "inanimate" 1.3862944
"548" "NP" "serve" "animate" "inanimate" 1.7917595
"549" "NP" "give" "animate" "inanimate" 2.944439
"550" "NP" "award" "animate" "inanimate" 2.3025851
"551" "NP" "give" "animate" "inanimate" 2.7080502
"552" "NP" "pay" "animate" "inanimate" 1.3862944
"553" "NP" "give" "animate" "inanimate" 1.6094379
"554" "NP" "pay" "animate" "inanimate" 0
"555" "NP" "give" "animate" "inanimate" 1.6094379
"556" "PP" "give" "animate" "inanimate" 0
"557" "PP" "give" "inanimate" "inanimate" 1.7917595
"558" "PP" "give" "animate" "inanimate" 1.3862944
"559" "PP" "give" "animate" "inanimate" 1.3862944
"560" "PP" "sell" "animate" "inanimate" 1.7917595
"561" "PP" "give" "inanimate" "inanimate" 0.6931472
"562" "PP" "give" "inanimate" "inanimate" 0.6931472
"563" "PP" "give" "animate" "inanimate" 1.3862944
"564" "PP" "send" "animate" "inanimate" 2.5649494
"565" "PP" "offer" "animate" "inanimate" 1.9459101
"566" "PP" "offer" "animate" "inanimate" 0
"567" "PP" "send" "inanimate" "inanimate" 1.3862944
"568" "PP" "send" "animate" "inanimate" 1.7917595
"569" "PP" "sell" "animate" "inanimate" 1.6094379
"570" "PP" "present" "animate" "inanimate" 1.0986123
"571" "PP" "sell" "animate" "inanimate" 1.6094379
"572" "PP" "submit" "animate" "inanimate" 0.6931472
"573" "PP" "sell" "animate" "inanimate" 1.6094379
"574" "PP" "give" "animate" "inanimate" 1.0986123
"575" "PP" "give" "animate" "inanimate" 1.3862944
"576" "PP" "offer" "animate" "inanimate" 1.3862944
"577" "PP" "sell" "animate" "inanimate" 1.0986123
"578" "PP" "offer" "animate" "inanimate" 1.3862944
"579" "PP" "give" "inanimate" "inanimate" 0.6931472
"580" "PP" "sell" "animate" "inanimate" 0.6931472
"581" "PP" "slip" "animate" "inanimate" 1.0986123
"582" "PP" "sell" "animate" "inanimate" 1.7917595
"583" "PP" "pay" "animate" "inanimate" 1.3862944
"584" "PP" "sell" "animate" "inanimate" 1.0986123
"585" "PP" "sell" "animate" "inanimate" 1.7917595
"586" "PP" "lend" "inanimate" "inanimate" 0
"587" "PP" "sell" "animate" "inanimate" 0
"588" "PP" "sell" "animate" "inanimate" 1.9459101
"589" "PP" "give" "animate" "inanimate" 1.3862944
"590" "PP" "sell" "animate" "inanimate" 1.3862944
"591" "PP" "loan" "animate" "inanimate" 0
"592" "PP" "send" "animate" "inanimate" 0.6931472
"593" "PP" "give" "animate" "inanimate" 1.3862944
"594" "PP" "give" "inanimate" "inanimate" 0
"595" "PP" "sell" "animate" "inanimate" 1.7917595
"596" "PP" "pay" "animate" "inanimate" 0.6931472
"597" "PP" "sell" "animate" "inanimate" 2.6390573
"598" "PP" "make" "animate" "inanimate" 1.3862944
"599" "PP" "give" "animate" "inanimate" 0
"600" "PP" "sell" "animate" "inanimate" 2.0794415
"601" "PP" "send" "animate" "inanimate" 0.6931472
"602" "PP" "pay" "animate" "inanimate" 1.3862944
"603" "PP" "offer" "inanimate" "inanimate" 1.9459101
"604" "PP" "deny" "animate" "inanimate" 0
"605" "PP" "sell" "animate" "inanimate" 1.9459101
"606" "PP" "sell" "animate" "inanimate" 2.3978953
"607" "PP" "pay" "animate" "inanimate" 1.0986123
"608" "PP" "sell" "animate" "inanimate" 1.6094379
"609" "PP" "sell" "animate" "inanimate" 0.6931472
"610" "PP" "give" "inanimate" "inanimate" 0.6931472
"611" "PP" "bring" "animate" "inanimate" 1.0986123
"612" "PP" "pay" "animate" "inanimate" 0.6931472
"613" "PP" "sell" "animate" "inanimate" 1.3862944
"614" "PP" "sell" "animate" "inanimate" 1.6094379
"615" "PP" "offer" "animate" "inanimate" 1.0986123
"616" "PP" "sell" "animate" "inanimate" 1.9459101
"617" "PP" "sell" "animate" "inanimate" 0
"618" "PP" "show" "animate" "inanimate" 1.0986123
"619" "PP" "offer" "animate" "inanimate" 1.0986123
"620" "PP" "award" "animate" "inanimate" 1.6094379
"621" "PP" "award" "animate" "inanimate" 0
"622" "PP" "send" "animate" "inanimate" 0
"623" "PP" "deliver" "animate" "inanimate" 1.3862944
"624" "PP" "lend" "inanimate" "inanimate" 0
"625" "PP" "grant" "animate" "inanimate" 0
"626" "PP" "sell" "animate" "inanimate" 1.0986123
"627" "PP" "pay" "animate" "inanimate" 1.6094379
"628" "PP" "sell" "animate" "inanimate" 1.3862944
"629" "PP" "sell" "animate" "inanimate" 2.0794415
"630" "PP" "sell" "animate" "inanimate" 1.0986123
"631" "PP" "send" "animate" "inanimate" 2.4849066
"632" "PP" "give" "animate" "inanimate" 0.6931472
"633" "PP" "give" "animate" "inanimate" 0.6931472
"634" "PP" "sell" "animate" "inanimate" 0.6931472
"635" "PP" "give" "animate" "inanimate" 0
"636" "PP" "give" "inanimate" "inanimate" 0.6931472
"637" "PP" "give" "inanimate" "inanimate" 1.0986123
"638" "PP" "pay" "animate" "inanimate" 0.6931472
"639" "PP" "pay" "animate" "inanimate" 0.6931472
"640" "PP" "give" "animate" "inanimate" 0
"641" "PP" "sell" "animate" "inanimate" 1.6094379
"642" "PP" "sell" "animate" "inanimate" 1.9459101
"643" "PP" "give" "animate" "inanimate" 0
"644" "PP" "lend" "inanimate" "inanimate" 0
"645" "PP" "sell" "animate" "inanimate" 0.6931472
"646" "PP" "give" "animate" "inanimate" 0.6931472
"647" "PP" "sell" "animate" "inanimate" 1.9459101
"648" "PP" "sell" "animate" "inanimate" 1.0986123
"649" "PP" "sell" "animate" "inanimate" 1.0986123
"650" "PP" "sell" "animate" "inanimate" 1.9459101
"651" "PP" "sell" "animate" "inanimate" 1.9459101
"652" "PP" "sell" "animate" "inanimate" 1.0986123
"653" "PP" "give" "inanimate" "inanimate" 1.6094379
"654" "PP" "offer" "animate" "inanimate" 1.0986123
"655" "PP" "give" "inanimate" "inanimate" 1.9459101
"656" "PP" "offer" "animate" "inanimate" 1.6094379
"657" "PP" "read" "animate" "inanimate" 0
"658" "PP" "sell" "animate" "inanimate" 1.6094379
"659" "PP" "sell" "animate" "inanimate" 0.6931472
"660" "PP" "lend" "animate" "inanimate" 0
"661" "PP" "lend" "animate" "inanimate" 0
"662" "PP" "sell" "animate" "inanimate" 0.6931472
"663" "PP" "bring" "inanimate" "inanimate" 0.6931472
"664" "PP" "sell" "animate" "inanimate" 1.6094379
"665" "PP" "give" "animate" "inanimate" 1.6094379
"666" "PP" "sell" "animate" "inanimate" 0
"667" "PP" "allocate" "inanimate" "inanimate" 0.6931472
"668" "PP" "send" "animate" "inanimate" 1.0986123
"669" "PP" "give" "animate" "inanimate" 1.3862944
"670" "PP" "give" "inanimate" "inanimate" 1.7917595
"671" "PP" "mail" "animate" "inanimate" 0.6931472
"672" "PP" "give" "inanimate" "inanimate" 1.0986123
"673" "PP" "bequeath" "animate" "inanimate" 1.6094379
"674" "PP" "give" "inanimate" "inanimate" 0.6931472
"675" "PP" "give" "animate" "inanimate" 1.0986123
"676" "PP" "sell" "animate" "inanimate" 1.7917595
"677" "PP" "sell" "animate" "inanimate" 0.6931472
"678" "PP" "sell" "animate" "inanimate" 1.7917595
"679" "PP" "give" "inanimate" "inanimate" 0.6931472
"680" "PP" "resell" "animate" "inanimate" 0
"681" "PP" "sell" "animate" "inanimate" 1.6094379
"682" "PP" "give" "animate" "inanimate" 1.6094379
"683" "PP" "give" "animate" "inanimate" 0
"684" "PP" "lend" "inanimate" "inanimate" 0.6931472
"685" "PP" "sell" "animate" "inanimate" 1.6094379
"686" "PP" "issue" "animate" "inanimate" 1.7917595
"687" "PP" "sell" "animate" "inanimate" 0.6931472
"688" "PP" "cede" "animate" "inanimate" 0.6931472
"689" "PP" "give" "inanimate" "inanimate" 1.0986123
"690" "PP" "sell" "animate" "inanimate" 2.4849066
"691" "PP" "bring" "inanimate" "inanimate" 0
"692" "PP" "issue" "animate" "inanimate" 1.0986123
"693" "PP" "sell" "animate" "inanimate" 2.1972246
"694" "PP" "sell" "animate" "inanimate" 2.6390573
"695" "PP" "get" "animate" "inanimate" 0
"696" "PP" "issue" "animate" "inanimate" 2.0794415
"697" "PP" "send" "animate" "inanimate" 1.6094379
"698" "PP" "give" "animate" "inanimate" 0
"699" "PP" "issue" "animate" "inanimate" 1.9459101
"700" "PP" "give" "inanimate" "inanimate" 0.6931472
"701" "PP" "hand_over" "animate" "inanimate" 0.6931472
"702" "PP" "give" "animate" "inanimate" 0
"703" "PP" "give" "inanimate" "inanimate" 0.6931472
"704" "PP" "sell" "animate" "inanimate" 0
"705" "PP" "deny" "animate" "inanimate" 0.6931472
"706" "PP" "deal" "inanimate" "inanimate" 1.0986123
"707" "PP" "give" "animate" "inanimate" 0
"708" "PP" "give" "inanimate" "inanimate" 1.0986123
"709" "PP" "give" "animate" "inanimate" 0
"710" "PP" "give" "animate" "inanimate" 0
"711" "PP" "issue" "animate" "inanimate" 0.6931472
"712" "PP" "sell" "animate" "inanimate" 0
"713" "PP" "give" "animate" "inanimate" 2.4849066
"714" "PP" "sell" "animate" "inanimate" 1.3862944
"715" "PP" "sell" "animate" "inanimate" 1.9459101
"716" "PP" "sell" "animate" "inanimate" 1.3862944
"717" "PP" "sell" "animate" "inanimate" 0.6931472
"718" "PP" "sell" "animate" "inanimate" 1.6094379
"719" "PP" "give" "animate" "inanimate" 1.0986123
"720" "PP" "grant" "animate" "inanimate" 1.0986123
"721" "PP" "sell" "animate" "inanimate" 1.0986123
"722" "PP" "sell" "animate" "inanimate" 0.6931472
"723" "PP" "sell" "animate" "inanimate" 1.0986123
"724" "PP" "sell" "animate" "inanimate" 1.0986123
"725" "PP" "award" "animate" "inanimate" 2.1972246
"726" "PP" "award" "animate" "inanimate" 1.3862944
"727" "PP" "sell" "animate" "inanimate" 1.7917595
"728" "PP" "sell" "animate" "inanimate" 2.1972246
"729" "PP" "repay" "animate" "inanimate" 1.7917595
"730" "PP" "sell" "animate" "inanimate" 2.0794415
"731" "PP" "sell" "animate" "inanimate" 2.3978953
"732" "PP" "sell" "animate" "inanimate" 1.7917595
"733" "PP" "sell" "animate" "inanimate" 0
"734" "PP" "bring" "animate" "inanimate" 0.6931472
"735" "PP" "sell" "animate" "inanimate" 0
"736" "PP" "trade" "animate" "animate" 1.6094379
"737" "PP" "supply" "animate" "inanimate" 0
"738" "PP" "pay" "animate" "inanimate" 1.0986123
"739" "PP" "give" "inanimate" "inanimate" 0.6931472
"740" "PP" "sell" "animate" "inanimate" 2.7080502
"741" "PP" "pay" "animate" "inanimate" 0.6931472
"742" "PP" "sell" "animate" "inanimate" 0
"743" "PP" "cede" "animate" "inanimate" 1.9459101
"744" "PP" "sell_off" "animate" "inanimate" 1.6094379
"745" "PP" "offer" "animate" "inanimate" 0.6931472
"746" "PP" "sell" "animate" "inanimate" 2.1972246
"747" "PP" "deliver" "animate" "inanimate" 1.3862944
"748" "PP" "funnel" "animate" "inanimate" 0
"749" "PP" "grant" "animate" "inanimate" 1.3862944
"750" "PP" "give" "inanimate" "inanimate" 0.6931472
"751" "PP" "prepay" "animate" "inanimate" 1.9459101
"752" "PP" "give" "inanimate" "inanimate" 0.6931472
"753" "PP" "offer" "animate" "inanimate" 1.7917595
"754" "PP" "sell" "animate" "inanimate" 1.0986123
"755" "PP" "lend" "inanimate" "inanimate" 1.0986123
"756" "PP" "sell" "animate" "inanimate" 0.6931472
"757" "PP" "sell" "animate" "inanimate" 1.6094379
"758" "PP" "give" "animate" "inanimate" 1.3862944
"759" "PP" "give" "animate" "inanimate" 0.6931472
"760" "PP" "send" "animate" "inanimate" 2.0794415
"761" "PP" "pay" "animate" "inanimate" 0.6931472
"762" "PP" "give" "animate" "inanimate" 0
"763" "PP" "send" "animate" "inanimate" 0.6931472
"764" "PP" "extend" "animate" "inanimate" 1.9459101
"765" "PP" "give" "animate" "inanimate" 1.6094379
"766" "PP" "give" "animate" "inanimate" 0.6931472
"767" "PP" "give" "inanimate" "inanimate" 1.3862944
"768" "PP" "sell" "animate" "inanimate" 1.6094379
"769" "PP" "sell" "animate" "inanimate" 1.3862944
"770" "PP" "issue" "animate" "inanimate" 0
"771" "PP" "give" "animate" "inanimate" 0
"772" "PP" "lease" "animate" "inanimate" 1.3862944
"773" "PP" "extend" "animate" "inanimate" 0.6931472
"774" "PP" "send" "animate" "inanimate" 0.6931472
"775" "PP" "offer" "animate" "inanimate" 0.6931472
"776" "PP" "sell" "animate" "inanimate" 0.6931472
"777" "PP" "sell" "animate" "inanimate" 2.3025851
"778" "PP" "pay" "animate" "inanimate" 1.3862944
"779" "PP" "pay" "animate" "inanimate" 1.9459101
"780" "PP" "carry" "animate" "inanimate" 0.6931472
"781" "PP" "award" "animate" "inanimate" 0.6931472
"782" "PP" "sell" "animate" "inanimate" 1.3862944
"783" "PP" "make" "animate" "inanimate" 1.0986123
"784" "PP" "lend" "animate" "inanimate" 1.3862944
"785" "PP" "send" "animate" "inanimate" 0.6931472
"786" "PP" "award" "animate" "inanimate" 1.6094379
"787" "PP" "sell" "animate" "inanimate" 1.0986123
"788" "PP" "sell" "animate" "inanimate" 1.6094379
"789" "PP" "sell" "animate" "inanimate" 1.3862944
"790" "PP" "offer" "animate" "inanimate" 1.3862944
"791" "PP" "offer" "animate" "inanimate" 0.6931472
"792" "PP" "award" "animate" "inanimate" 0.6931472
"793" "PP" "send" "animate" "inanimate" 0.6931472
"794" "PP" "send" "animate" "inanimate" 0.6931472
"795" "PP" "pay" "animate" "inanimate" 0
"796" "PP" "sell" "animate" "inanimate" 2.7725887
"797" "PP" "send" "animate" "inanimate" 0.6931472
"798" "PP" "sell" "animate" "inanimate" 0.6931472
"799" "PP" "sell" "animate" "inanimate" 1.3862944
"800" "PP" "give" "animate" "inanimate" 0
"801" "PP" "sell" "animate" "inanimate" 2.1972246
"802" "PP" "give" "animate" "inanimate" 0
"803" "PP" "give" "inanimate" "inanimate" 0.6931472
"804" "PP" "give" "inanimate" "inanimate" 0.6931472
"805" "PP" "give" "inanimate" "inanimate" 0
"806" "PP" "pay" "animate" "inanimate" 0.6931472
"807" "PP" "tell" "animate" "inanimate" 0
"808" "PP" "pay" "animate" "inanimate" 1.6094379
"809" "PP" "sell" "animate" "inanimate" 1.7917595
"810" "PP" "sell" "animate" "inanimate" 1.7917595
"811" "PP" "award" "animate" "inanimate" 1.6094379
"812" "PP" "award" "animate" "inanimate" 1.7917595
"813" "PP" "sell" "animate" "inanimate" 1.3862944
"814" "PP" "grant" "inanimate" "inanimate" 0.6931472
"815" "PP" "give" "inanimate" "inanimate" 0.6931472
"816" "PP" "offer" "animate" "inanimate" 0.6931472
"817" "PP" "pay" "animate" "inanimate" 0.6931472
"818" "PP" "give" "animate" "inanimate" 0
"819" "PP" "give" "inanimate" "inanimate" 0
"820" "PP" "give" "inanimate" "inanimate" 0
"821" "PP" "sell" "animate" "inanimate" 1.7917595
"822" "PP" "sell_back" "animate" "inanimate" 2.3025851
"823" "PP" "sell" "animate" "inanimate" 1.6094379
"824" "PP" "deal" "inanimate" "inanimate" 1.0986123
"825" "PP" "pay" "animate" "inanimate" 1.3862944
"826" "PP" "tender" "animate" "inanimate" 0.6931472
"827" "PP" "send" "animate" "inanimate" 1.7917595
"828" "PP" "sell" "animate" "inanimate" 0
"829" "PP" "sell" "animate" "inanimate" 0
"830" "PP" "sell" "animate" "inanimate" 0.6931472
"831" "PP" "sell" "animate" "inanimate" 1.6094379
"832" "PP" "sell" "animate" "inanimate" 1.0986123
"833" "PP" "sell" "animate" "inanimate" 1.6094379
"834" "PP" "run" "animate" "inanimate" 0
"835" "PP" "sell" "animate" "inanimate" 1.0986123
"836" "PP" "offer" "animate" "inanimate" 2.1972246
"837" "PP" "tell" "animate" "inanimate" 0.6931472
"838" "PP" "give" "animate" "inanimate" 0
"839" "PP" "sell" "animate" "inanimate" 1.6094379
"840" "PP" "send" "animate" "inanimate" 0.6931472
"841" "PP" "promise" "animate" "inanimate" 1.3862944
"842" "PP" "pay" "animate" "inanimate" 1.6094379
"843" "PP" "sell" "animate" "inanimate" 0
"844" "PP" "sell" "animate" "inanimate" 1.6094379
"845" "PP" "sell" "animate" "inanimate" 0
"846" "PP" "sell" "animate" "inanimate" 1.0986123
"847" "PP" "sell" "animate" "inanimate" 2.3978953
"848" "PP" "sell" "animate" "inanimate" 1.3862944
"849" "PP" "pay" "animate" "inanimate" 1.6094379
"850" "PP" "lend" "animate" "inanimate" 1.7917595
"851" "PP" "sell" "animate" "inanimate" 1.7917595
"852" "PP" "award" "animate" "inanimate" 2.6390573
"853" "PP" "give" "animate" "inanimate" 0
"854" "PP" "sell" "animate" "inanimate" 1.3862944
"855" "PP" "resell" "animate" "inanimate" 0
"856" "PP" "sell" "animate" "inanimate" 0.6931472
"857" "PP" "offer" "animate" "inanimate" 1.3862944
"858" "PP" "lease" "animate" "inanimate" 1.6094379
"859" "PP" "lease" "animate" "inanimate" 1.6094379
"860" "PP" "lease" "animate" "inanimate" 0.6931472
"861" "PP" "resell" "animate" "inanimate" 0
"862" "PP" "pay" "animate" "inanimate" 0.6931472
"863" "PP" "bring" "animate" "inanimate" 2.6390573
"864" "PP" "pay" "animate" "inanimate" 0.6931472
"865" "PP" "give" "animate" "inanimate" 0
"866" "PP" "sell" "animate" "inanimate" 1.9459101
"867" "PP" "sell" "animate" "inanimate" 1.0986123
"868" "PP" "offer" "animate" "inanimate" 0.6931472
"869" "PP" "give" "inanimate" "inanimate" 0.6931472
"870" "PP" "give" "inanimate" "inanimate" 0
"871" "PP" "owe" "animate" "inanimate" 1.0986123
"872" "PP" "send" "animate" "inanimate" 0.6931472
"873" "PP" "sell" "animate" "inanimate" 1.7917595
"874" "PP" "show" "animate" "inanimate" 0
"875" "PP" "sell" "animate" "inanimate" 1.3862944
"876" "PP" "sell" "animate" "inanimate" 1.3862944
"877" "PP" "sell" "animate" "inanimate" 1.6094379
"878" "PP" "send" "animate" "inanimate" 1.0986123
"879" "PP" "sell" "animate" "inanimate" 1.0986123
"880" "PP" "sell" "animate" "inanimate" 1.9459101
"881" "PP" "sell" "animate" "inanimate" 1.3862944
"882" "PP" "allocate" "inanimate" "inanimate" 1.9459101
"883" "PP" "allocate" "inanimate" "inanimate" 0.6931472
"884" "PP" "award" "inanimate" "inanimate" 1.9459101
"885" "PP" "pay" "animate" "inanimate" 0.6931472
"886" "PP" "sell" "animate" "inanimate" 1.6094379
"887" "PP" "make" "animate" "inanimate" 1.0986123
"888" "PP" "give" "animate" "inanimate" 1.0986123
"889" "PP" "give" "animate" "inanimate" 0.6931472
"890" "PP" "sell" "animate" "inanimate" 1.0986123
"891" "PP" "sell" "animate" "inanimate" 1.0986123
"892" "PP" "give" "animate" "inanimate" 0.6931472
"893" "PP" "sell" "animate" "inanimate" 0
"894" "PP" "sell" "animate" "inanimate" 1.6094379
"895" "PP" "sell" "animate" "inanimate" 2.5649494
"896" "PP" "sell" "animate" "inanimate" 0.6931472
"897" "PP" "sell" "animate" "inanimate" 2.3978953
"898" "PP" "give" "animate" "inanimate" 1.0986123
"899" "PP" "give" "animate" "inanimate" 1.0986123
"900" "PP" "offer" "animate" "inanimate" 1.7917595
"901" "PP" "pay" "animate" "inanimate" 0
"902" "PP" "give" "animate" "inanimate" 1.3862944
"903" "PP" "give" "inanimate" "inanimate" 1.0986123
